---------------------------------------------------------------
|Name                                              |Effekt    |
|FINAL FANTASY XV EPISODE ARDYN COMPLETE EDITION   |Positive  |
|Call of Duty®: WWII                               |Positive  |
|MudRunner                                         |Positive  |
|Keep Talking and Nobody Explodes                  |Positive  |
|SPORE™                                            |Positive  |
|Contra Anniversary Collection                     |Positive  |
|Fishing Planet                                    |Positive  |
|Grand Theft Auto V: Premium Online Edition & Great White Shark Card Bundle|Positive  |
|Just Cause™ 3                                     |Positive  |
|BioShock Infinite                                 |Positive  |
|Men of War: Assault Squad 2                       |Positive  |
|Dungeons & Dragons Online®                        |Positive  |
|NecroDancer ULTIMATE PACK                         |Positive  |
|JUMP FORCE                                        |Positive  |
|Desert Skies                                      |Positive  |
|Ring of Elysium                                   |Positive  |
|Super Neptunia RPG / 勇者ネプテューヌ /勇者戰幾少女             |Positive  |
|METAL GEAR SOLID V: THE PHANTOM PAIN              |Positive  |
|TEKKEN 7                                          |Positive  |
|Golf It!                                          |Positive  |
|Heroes & Generals                                 |Positive  |
|Ultimate Doom                                     |Positive  |
|GORN                                              |Positive  |
|DRAGON BALL FighterZ                              |Positive  |
|Fantasy Grounds                                   |Positive  |
|DRAGON BALL XENOVERSE 2                           |Positive  |
|Frostpunk                                         |Positive  |
|Stellaris: Starter Pack                           |Positive  |
|Universe Sandbox ²                                |Positive  |
|Shadowverse CCG                                   |Positive  |
|Tyranny -  Gold Edition                           |Positive  |
|Cities: Skylines - New Player Bundle              |Positive  |
|Fable Anniversary                                 |Positive  |
|Baldur's Gate II: Enhanced Edition                |Positive  |
|Freestyle 2: Street Basketball                    |Positive  |
|PC Building Simulator                             |Positive  |
|Battle Brothers                                   |Positive  |
|The Surge                                         |Positive  |
|Total War Saga: THRONES OF BRITANNIA              |Positive  |
|Assetto Corsa Ultimate Edition                    |Positive  |
|Parkitect                                         |Positive  |
|Between the Stars                                 |Positive  |
|ShellShock Live                                   |Positive  |
|Endless Legend™                                   |Positive  |
|Cities: Skylines - Campus Plus Edition            |Positive  |
|Devolver Bootleg                                  |Positive  |
|DiRT Rally 2.0                                    |Positive  |
|Attack on Titan 2 - A.O.T.2 - 進撃の巨人２              |Positive  |
|Warface                                           |Positive  |
|Assassin's Creed® Origins                         |Positive  |
|House Party                                       |Positive  |
|Empyrion - Galactic Survival                      |Positive  |
|WWE 2K19                                          |Positive  |
|Dragon's Dogma: Dark Arisen                       |Positive  |
|Warhammer 40,000: Gladius - Relics of War         |Positive  |
|Scrap Mechanic                                    |Positive  |
|Generation Zero                                   |Positive  |
|Total War: ATTILA                                 |Positive  |
|Dead by Daylight + Deathgarden                    |Positive  |
|Prison Architect                                  |Positive  |
|Dying Light Ultimate Collection                   |Positive  |
|Eco                                               |Positive  |
|Thief Simulator                                   |Positive  |
|Bloons TD 6                                       |Positive  |
|DUSK                                              |Positive  |
|Ori and the Blind Forest                          |Positive  |
|Wizard of Legend                                  |Positive  |
|MapleStory 2                                      |Positive  |
|The Jackbox Party Pack 4                          |Positive  |
|EARTH DEFENSE FORCE 4.1 The Shadow of New Despair |Positive  |
|Cities: Skylines Collection                       |Positive  |
|Steam Controller                                  |Positive  |
|Two Point Hospital                                |Positive  |
|The Universim                                     |Positive  |
|Sniper Elite 4                                    |Positive  |
|Divinity: Original Sin - Enhanced Edition         |Positive  |
|Automation - The Car Company Tycoon Game          |Positive  |
|Call of Duty®: Modern Warfare® 3                  |Positive  |
|SCUM                                              |Positive  |
|Reventure                                         |Positive  |
|Job Simulator                                     |Positive  |
|Watch_Dogs® 2                                     |Positive  |
|Town of Salem                                     |Positive  |
|VEGA Conflict                                     |Positive  |
|Foundation                                        |Positive  |
|Shadow of the Tomb Raider                         |Positive  |
|Golf With Your Friends                            |Positive  |
|The Witcher 2: Assassins of Kings Enhanced Edition|Positive  |
|ARK: Survival Evolved Explorer's Edition          |Positive  |
|The Elder Scrolls IV: Oblivion® Game of the Year Edition|Positive  |
|Company of Heroes 2                               |Positive  |
|PlanetSide 2                                      |Positive  |
|Rocksmith® 2014 Edition - Remastered              |Positive  |
|Naval Action                                      |Positive  |
|theHunter: Call of the Wild™ - 2019 Edition       |Positive  |
|ACE COMBAT™ 7: SKIES UNKNOWN                      |Positive  |
|Vacation Simulator                                |Positive  |
|PAYDAY 2: Ultimate Edition                        |Positive  |
|Baldur's Gate: Enhanced Edition                   |Positive  |
|The Golf Club™ 2019 featuring PGA TOUR            |Positive  |
|Far Cry® 5                                        |Positive  |
|Pummel Party                                      |Positive  |
|Idle Champions of the Forgotten Realms            |Positive  |
|The Isle                                          |Positive  |
|iRacing                                           |Positive  |
|Steel Division 2                                  |Positive  |
|Hot Dogs, Horseshoes & Hand Grenades              |Positive  |
|Crush Crush                                       |Positive  |
|Call of Duty®: Black Ops II                       |Positive  |
|Undertale                                         |Positive  |
|The Evil Within 2                                 |Positive  |
|Project CARS 2                                    |Positive  |
|Total War: SHOGUN 2                               |Positive  |
|FINAL FANTASY VII                                 |Positive  |
|Euro Truck Simulator 2                            |Positive  |
|Endless Space® 2                                  |Positive  |
|BATTALION 1944: First To Fight Edition            |Positive  |
|Beat Saber - Game + Imagine Dragons Music Pack    |Positive  |
|Stick Fight: The Game                             |Positive  |
|Fell Seal: Arbiter's Mark                         |Positive  |
|Out of the Park Baseball 20                       |Positive  |
|Project Winter                                    |Positive  |
|Dishonored                                        |Positive  |
|Assetto Corsa                                     |Positive  |
|My Friend Pedro                                   |Positive  |
|Trove                                             |Positive  |
|My Time At Portia                                 |Positive  |
|Fallout 4 VR                                      |Positive  |
|Enter the Gungeon                                 |Positive  |
|NecroDancer AMPLIFIED PACK                        |Positive  |
|Arizona Sunshine                                  |Positive  |
|Age of Mythology: Extended Edition                |Positive  |
|Football Manager 2019                             |Positive  |
|FINAL FANTASY XV WINDOWS EDITION                  |Positive  |
|Gold Rush: The Game                               |Positive  |
|Jump King                                         |Positive  |
|The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe|Positive  |
|Train Simulator 2019                              |Positive  |
|Deep Ocean Bundle                                 |Positive  |
|Just Shapes & Beats                               |Positive  |
|Call of Duty: World at War                        |Positive  |
|Dishonored: Death of the Outsider - Deluxe Bundle |Positive  |
|Killing Floor 2                                   |Positive  |
|SpellForce 3: Soul Harvest                        |Positive  |
|Slime Rancher                                     |Positive  |
|MapleStory                                        |Positive  |
|KovaaK's FPS Aim Trainer                          |Positive  |
|Mount & Blade: Warband                            |Positive  |
|World of Tanks Blitz MMO                          |Positive  |
|Rising Storm 2: Vietnam                           |Positive  |
|Stormworks: Build and Rescue                      |Positive  |
|Far Cry® New Dawn                                 |Positive  |
|Don't Starve                                      |Positive  |
|Eastshade                                         |Positive  |
|Zero Caliber VR                                   |Positive  |
|Conan Exiles - Year 1 DLC Bundle                  |Positive  |
|Sid Meier's Civilization V: Complete              |Positive  |
|World War 3                                       |Positive  |
|Call of Duty®: Modern Warfare® 2                  |Positive  |
|Neverwinter                                       |Positive  |
|The Binding of Isaac: Rebirth                     |Positive  |
|UNO                                               |Positive  |
|A Hat in Time - Ultimate Edition                  |Positive  |
|Age of Empires® III: Complete Collection          |Positive  |
|The Jackbox Party Pack 5                          |Positive  |
|Knights of Pen and Paper 2                        |Positive  |
|Dishonored: Complete Collection                   |Positive  |
|Dawn of Man                                       |Positive  |
|Baba Is You                                       |Positive  |
|House & Garden Flipper Bundle                     |Positive  |
|Microsoft Flight Simulator X: Steam Edition       |Positive  |
|ASTRONEER                                         |Positive  |
|Hollow Knight                                     |Positive  |
|Kingdoms and Castles                              |Positive  |
|Tyranny                                           |Positive  |
|House Cooking Bundle!                             |Positive  |
|XCOM® 2                                           |Positive  |
|Elite Dangerous                                   |Positive  |
|Realm of the Mad God                              |Positive  |
|Pillars of Eternity II: Deadfire                  |Positive  |
|Portal 2                                          |Positive  |
|Oxygen Not Included                               |Positive  |
|Jurassic World Evolution                          |Positive  |
|BeamNG.drive                                      |Positive  |
|MORDHAU Supporter Bundle                          |Positive  |
|DCS World Steam Edition                           |Positive  |
|Blaster Master Zero                               |Positive  |
|Forager                                           |Positive  |
|The Jackbox Party Pack 3                          |Positive  |
|Wolfenstein: The Two Pack                         |Positive  |
|Albion Online                                     |Positive  |
|DARK SOULS™ II                                    |Positive  |
|Total War™: ROME II - Emperor Edition             |Positive  |
|Car Mechanic Simulator 2018                       |Positive  |
|NieR:Automata™                                    |Positive  |
|Pavlov VR                                         |Positive  |
|Left 4 Dead 2                                     |Positive  |
|Yu-Gi-Oh! Duel Links                              |Positive  |
|Katana ZERO                                       |Positive  |
|Vampire: The Masquerade - Bloodlines              |Positive  |
|Wreckfest                                         |Positive  |
|SUPERHOT VR                                       |Positive  |
|Conqueror's Blade                                 |Positive  |
|Kenshi                                            |Positive  |
|RESIDENT EVIL 2 / BIOHAZARD RE:2                  |Positive  |
|HITMAN™ 2                                         |Positive  |
|Minion Masters                                    |Positive  |
|Crossout                                          |Positive  |
|Kingdom Come: Deliverance Royal Edition           |Positive  |
|The Sims™ 3                                       |Positive  |
|Subnautica                                        |Positive  |
|Wallpaper Engine                                  |Positive  |
|Grim Dawn                                         |Positive  |
|Subnautica: Below Zero                            |Positive  |
|7 Days to Die                                     |Positive  |
|X-Plane 11                                        |Positive  |
|Fallout: New Vegas                                |Positive  |
|Surviving Mars                                    |Positive  |
|Wolfenstein: The New Order                        |Positive  |
|RAGE 2                                            |Positive  |
|A Plague Tale: Innocence                          |Positive  |
|FOR HONOR™                                        |Positive  |
|Cuphead                                           |Positive  |
|Europa Universalis IV                             |Positive  |
|DRAGON QUEST® XI: Echoes of an Elusive Age™ - Digital Edition of Light|Positive  |
|Deathgarden™: BLOODHARVEST                        |Positive  |
|Supraland                                         |Positive  |
|Starbound                                         |Positive  |
|NBA 2K19                                          |Positive  |
|KurtzPel                                          |Positive  |
|A Hat in Time                                     |Positive  |
|Slay the Spire                                    |Positive  |
|PAYDAY 2                                          |Positive  |
|Papers, Please                                    |Positive  |
|Insurgency: Sandstorm                             |Positive  |
|Deep Rock Galactic                                |Positive  |
|No Man's Sky                                      |Positive  |
|Tropico 6                                         |Positive  |
|theHunter: Call of the Wild™                      |Positive  |
|Prey                                              |Positive  |
|Tabletop Simulator                                |Positive  |
|Outward                                           |Positive  |
|Thronebreaker: The Witcher Tales                  |Positive  |
|Beat Saber - Imagine Dragons Music Pack           |Positive  |
|Paladins®                                         |Positive  |
|FIVE NIGHTS AT FREDDY'S VR: HELP WANTED           |Positive  |
|Screencheat                                       |Positive  |
|Space Engineers                                   |Positive  |
|Ideology in Friction                              |Positive  |
|Sid Meier's Civilization® V                       |Positive  |
|Pathfinder: Kingmaker                             |Positive  |
|Age of Empires II HD                              |Positive  |
|Blade and Sorcery                                 |Positive  |
|Borderlands Game of the Year                      |Positive  |
|Destiny 2                                         |Positive  |
|Raft                                              |Positive  |
|Factorio                                          |Positive  |
|Total War: WARHAMMER                              |Positive  |
|Crypt of the NecroDancer                          |Positive  |
|Garry's Mod                                       |Positive  |
|Brawlhalla                                        |Positive  |
|The Elder Scrolls V: Skyrim VR                    |Positive  |
|Void Bastards                                     |Positive  |
|World of Warships                                 |Positive  |
|Coming Out on Top                                 |Positive  |
|Tom Clancy's Ghost Recon® Wildlands               |Positive  |
|Farming Simulator 19                              |Positive  |
|Don't Starve Together                             |Positive  |
|Crusader Kings II                                 |Positive  |
|Conan Exiles                                      |Positive  |
|Barotrauma                                        |Positive  |
|Totally Accurate Battle Simulator                 |Positive  |
|Borderlands 2 Game of the Year                    |Positive  |
|Call of Duty®: Black Ops III                      |Positive  |
|Planet Zoo                                        |Positive  |
|Wolfenstein II: The New Colossus                  |Positive  |
|Kingdom Come: Deliverance                         |Positive  |
|Star Trek Online                                  |Positive  |
|Bloodstained: Ritual of the Night                 |Positive  |
|The Forest                                        |Positive  |
|Planet Coaster                                    |Positive  |
|Overcooked! 2                                     |Positive  |
|Dishonored 2                                      |Positive  |
|FINAL FANTASY XIV Online Complete Edition (NA)    |Positive  |
|Warhammer: Vermintide 2                           |Positive  |
|Mortal Kombat 11                                  |Positive  |
|Squad                                             |Positive  |
|Terraria                                          |Positive  |
|Cooking Simulator                                 |Positive  |
|Kerbal Space Program                              |Positive  |
|DOOM Eternal                                      |Positive  |
|Hearts of Iron IV                                 |Positive  |
|Assassin's Creed® Odyssey                         |Positive  |
|Touhou Luna Nights                                |Positive  |
|SMITE®                                            |Positive  |
|RimWorld                                          |Positive  |
|Stardew Valley                                    |Positive  |
|ARK: Survival Evolved                             |Positive  |
|DARK SOULS™ II: Scholar of the First Sin          |Positive  |
|Hunt Showdown                                     |Positive  |
|OCTOPATH TRAVELER™                                |Positive  |
|Arma 3                                            |Positive  |
|MONSTER HUNTER: WORLD                             |Positive  |
|American Truck Simulator West Coast Bundle        |Positive  |
|Sekiro™: Shadows Die Twice                        |Positive  |
|SpaceEngine                                       |Positive  |
|Cyberpunk 2077                                    |Positive  |
|Dying Light Enhanced Edition                      |Positive  |
|Divinity: Original Sin 2 - Definitive Edition     |Positive  |
|Risk of Rain 2                                    |Positive  |
|Team Fortress 2                                   |Positive  |
|House Flipper                                     |Positive  |
|Trover Saves the Universe                         |Positive  |
|Beat Saber                                        |Positive  |
|War Thunder                                       |Positive  |
|Dead by Daylight                                  |Positive  |
|Dying Light                                       |Positive  |
|Borderlands: The Pre-Sequel                       |Positive  |
|BATTALION 1944                                    |Positive  |
|Cities: Skylines                                  |Positive  |
|Stellaris                                         |Positive  |
|American Truck Simulator                          |Positive  |
|Sid Meier’s Civilization® VI                      |Positive  |
|DARK SOULS™: REMASTERED                           |Positive  |
|Total War: WARHAMMER II                           |Positive  |
|Hell Let Loose                                    |Positive  |
|Black Desert Online                               |Positive  |
|Fallout 4: Game of the Year Edition               |Positive  |
|The Elder Scrolls V: Skyrim Special Edition       |Positive  |
|Fallout 4                                         |Positive  |
|Rust                                              |Positive  |
|Grand Theft Auto V                                |Positive  |
|Warframe                                          |Positive  |
|MORDHAU                                           |Positive  |
|The Witcher® 3: Wild Hunt                         |Positive  |
|Total War: THREE KINGDOMS                         |Positive  |
|Rocket League®                                    |Positive  |
|FINAL FANTASY XIV Online                          |Positive  |
|Borderlands 2                                     |Positive  |
|DARK SOULS™ III                                   |Positive  |
|Tom Clancy's Rainbow Six® Siege                   |Positive  |
|The Witcher 3: Wild Hunt - Game of the Year Edition|Positive  |
|Path of Exile                                     |Positive  |
|Dota 2                                            |Positive  |
|DARK SOULS III Deluxe Edition                     |Positive  |
|The Elder Scrolls® Online                         |Positive  |
|Counter-Strike: Global Offensive                  |Positive  |
|Borderlands: The Handsome Collection              |Positive  |
|S.T.A.L.K.E.R.: Shadow of Chernobyl               |Positive  |
|FNaF Franchise Bundle                             |Positive  |
|Feed and Grow: Fish                               |Positive  |
|Plants vs. Zombies GOTY Edition                   |Positive  |
|Chivalry: Medieval Warfare                        |Positive  |
|Day of Infamy                                     |Positive  |
|Virtual Desktop                                   |Positive  |
|Cold Waters                                       |Positive  |
|Five Nights at Freddy's 3                         |Positive  |
|Miscreated                                        |Positive  |
|Crawl                                             |Positive  |
|Sword Art Online: Hollow Realization Deluxe Edition|Positive  |
|Alchemist's Awakening                             |Positive  |
|Imperator: Rome                                   |Positive  |
|The Wolf Among Us                                 |Positive  |
|CHRONO TRIGGER®                                   |Positive  |
|Iron Marines                                      |Positive  |
|The Wizards - Enhanced Edition                    |Positive  |
|Abandon Ship                                      |Positive  |
|Heat Signature                                    |Positive  |
|MY HERO ONE'S JUSTICE                             |Positive  |
|Puzzle Pirates                                    |Positive  |
|Project Arrhythmia                                |Positive  |
|Puyo Puyo™Tetris®                                 |Positive  |
|SoulWorker - Anime Action MMO                     |Positive  |
|Ashes of the Singularity: Escalation Gold         |Positive  |
|Pinball FX3                                       |Positive  |
|Katamari Damacy REROLL                            |Positive  |
|SUPER DRAGON BALL HEROES WORLD MISSION            |Positive  |
|Ultimate Fishing Simulator                        |Positive  |
|WARRIORS OROCHI 4 - 無双OROCHI３                     |Positive  |
|Foxhole                                           |Positive  |
|Drawful 2                                         |Positive  |
|NEKOPARA Vol. 2                                   |Positive  |
|Youtubers Life                                    |Positive  |
|Watch_Dogs™                                       |Positive  |
|Distance                                          |Positive  |
|Tom Clancy’s The Division™                        |Positive  |
|L.A. Noire                                        |Positive  |
|Metro 2033 Redux                                  |Positive  |
|Sunset Overdrive                                  |Positive  |
|Gloria Victis                                     |Positive  |
|NEKOPARA complete edition                         |Positive  |
|Far Cry 3                                         |Positive  |
|Duck Season                                       |Positive  |
|Pax Nova                                          |Positive  |
|OneShot                                           |Positive  |
|The Legend of Heroes: Trails in the Sky the 3rd   |Positive  |
|Sailaway - The Sailing Simulator                  |Positive  |
|Insurgency                                        |Positive  |
|Scythe: Digital Edition                           |Positive  |
|MU Legend                                         |Positive  |
|The Messenger                                     |Positive  |
|Havocado                                          |Positive  |
|Aseprite                                          |Positive  |
|Draugen                                           |Positive  |
|Streets of Rogue                                  |Positive  |
|rFactor 2                                         |Positive  |
|Pandemic Express - Zombie Escape                  |Positive  |
|Hypnospace Outlaw                                 |Positive  |
|Smile For Me                                      |Positive  |
|Undead Horde                                      |Positive  |
|CMS 2018 + Cooking Simulator                      |Positive  |
|Rocksmith™                                        |Positive  |
|Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-|Positive  |
|Garden of the Sea                                 |Positive  |
|LISA                                              |Positive  |
|Assassin's Creed® Syndicate                       |Positive  |
|Diesel Brothers: Truck Building Simulator         |Positive  |
|Richie's Plank Experience                         |Positive  |
|Nancy Drew®: Danger by Design                     |Positive  |
|Overcooked                                        |Positive  |
|Production Line : Car factory simulation          |Positive  |
|APB Reloaded                                      |Positive  |
|AdventureQuest 3D                                 |Positive  |
|Supreme Commander: Forged Alliance                |Positive  |
|Castlevania Anniversary Collection                |Positive  |
|HITMAN™ - Game of The Year Edition                |Positive  |
|Mirror                                            |Positive  |
|Zanki Zero: Last Beginning                        |Positive  |
|Victoria II                                       |Positive  |
|Ultimate Epic Battle Simulator                    |Positive  |
|Hollow Knight & Soundtracks                       |Positive  |
|Psychonauts                                       |Positive  |
|Totally Accurate Battlegrounds                    |Positive  |
|GameMaker Studio 2 Desktop                        |Positive  |
|South Park™: The Fractured But Whole™             |Positive  |
|Call of Duty® 4: Modern Warfare®                  |Positive  |
|Witch It                                          |Positive  |
|Shop Heroes                                       |Positive  |
|Volcanoids                                        |Positive  |
|Knight Online                                     |Positive  |
|Warhammer 40,000: Dawn of War III                 |Positive  |
|XERA: Survival                                    |Positive  |
|Tales of Berseria™                                |Positive  |
|Cliff Empire                                      |Positive  |
|What Remains of Edith Finch                       |Positive  |
|Sid Meier's Civilization®: Beyond Earth™          |Positive  |
|Homeworld Remastered Collection                   |Positive  |
|Magicka                                           |Positive  |
|SUNLESS SKIES                                     |Positive  |
|Outlast                                           |Positive  |
|Mafia II                                          |Positive  |
|Sally Face                                        |Positive  |
|Middle-earth™: Shadow of Mordor™                  |Positive  |
|Age of Wonders III Collection                     |Positive  |
|Bomber Crew                                       |Positive  |
|Depth                                             |Positive  |
|METAL GEAR SOLID V: The Definitive Experience     |Positive  |
|West of Loathing                                  |Positive  |
|Karnage Chronicles                                |Positive  |
|Battlestar Galactica Deadlock                     |Positive  |
|Tower!3D Pro                                      |Positive  |
|Avorion                                           |Positive  |
|EverQuest                                         |Positive  |
|Void Bastards - DeLUXe Bundle                     |Positive  |
|Dungeons 3                                        |Positive  |
|100% Orange Juice                                 |Positive  |
|Kagura Bundle                                     |Positive  |
|Metro: Last Light Redux                           |Positive  |
|GRIS                                              |Positive  |
|Star Control®: Origins                            |Positive  |
|F1® 2019 Anniversary Edition                      |Positive  |
|Spiral Knights                                    |Positive  |
|Quiplash                                          |Positive  |
|South Park™: The Stick of Truth™                  |Positive  |
|Heroes of Hammerwatch                             |Positive  |
|Rescue HQ - The Tycoon                            |Positive  |
|Nimbatus - The Space Drone Constructor            |Positive  |
|Granny Simulator                                  |Positive  |
|Goat Simulator                                    |Positive  |
|The Witness                                       |Positive  |
|Tilt Brush                                        |Positive  |
|We Need To Go Deeper                              |Positive  |
|Contractors                                       |Positive  |
|Warhammer 40,000: Gladius Complete Edition        |Positive  |
|FINAL FANTASY IX                                  |Positive  |
|Surviving Mars: Green Planet Plus                 |Positive  |
|Moonlighter                                       |Positive  |
|Rome: Total War™ - Collection                     |Positive  |
|FINAL FANTASY® XIII                               |Positive  |
|Quake III Arena                                   |Positive  |
|Knights of Pen and Paper +1 Edition               |Positive  |
|SOMA                                              |Positive  |
|Monster Hunter: World Deluxe Edition              |Positive  |
|Power & Revolution + 2019 Edition Bundle          |Positive  |
|Rec Room                                          |Positive  |
|Armello                                           |Positive  |
|Thea 2: The Shattering                            |Positive  |
|ATOM RPG: Post-apocalyptic indie game             |Positive  |
|Starcom: Nexus                                    |Positive  |
|Zoo Tycoon: Ultimate Animal Collection            |Positive  |
|Steel Division: Normandy 44                       |Positive  |
|CrossCode                                         |Positive  |
|Pagan Online                                      |Positive  |
|DOOM 3                                            |Positive  |
|FaceRig                                           |Positive  |
|SENRAN KAGURA Burst Re:Newal                      |Positive  |
|Starlink: Battle for Atlas                        |Positive  |
|The Blackout Club                                 |Positive  |
|Hotline Miami 2: Wrong Number                     |Positive  |
|Bendy and the Ink Machine™                        |Positive  |
|Hotline Miami                                     |Positive  |
|Wargame: Red Dragon                               |Positive  |
|QUAKE II                                          |Positive  |
|This War of Mine                                  |Positive  |
|War of Rights                                     |Positive  |
|Battlerite                                        |Positive  |
|Yakuza Kiwami                                     |Positive  |
|Half-Life 2                                       |Positive  |
|Star Trek™: Bridge Crew                           |Positive  |
|Dead by Daylight: Halloween Edition               |Positive  |
|Half-Life                                         |Positive  |
|Night in the Woods                                |Positive  |
|Last Epoch                                        |Positive  |
|IL-2 Sturmovik: Battle of Stalingrad              |Positive  |
|Drunkn Bar Fight                                  |Positive  |
|Homeworld: Deserts of Kharak                      |Positive  |
|Darkest Dungeon®: Ancestral Edition               |Positive  |
|Yu-Gi-Oh! Legacy of the Duelist                   |Positive  |
|Firewatch                                         |Positive  |
|Far Cry® Primal                                   |Positive  |
|Subsistence                                       |Positive  |
|狼と香辛料VR/Spice&WolfVR                              |Positive  |
|Pacify                                            |Positive  |
|Total War: NAPOLEON - Definitive Edition          |Positive  |
|DEAD OR ALIVE 6                                   |Positive  |
|Batman™: Arkham Origins                           |Positive  |
|Final Assault                                     |Positive  |
|Secret World Legends                              |Positive  |
|RUSH                                              |Positive  |
|Valkyria Chronicles 4                             |Positive  |
|Warhammer 40,000: Mechanicus                      |Positive  |
|War for the Overworld                             |Positive  |
|The Crew™ 2                                       |Positive  |
|Sid Meier's Civilization IV: Colonization         |Positive  |
|Assetto Corsa Competizione                        |Positive  |
|Dungeon Defenders                                 |Positive  |
|Unheard                                           |Positive  |
|RIFT                                              |Positive  |
|Farming Simulator 17                              |Positive  |
|theHunter Classic                                 |Positive  |
|Tannenberg                                        |Positive  |
|Animation Throwdown: The Quest for Cards          |Positive  |
|Operation: New Earth                              |Positive  |
|NEKOPARA Vol. 1                                   |Positive  |
|DESOLATE                                          |Positive  |
|Onward                                            |Positive  |
|Wolfenstein: Youngblood                           |Positive  |
|Embark                                            |Positive  |
|Fallout Tactics: Brotherhood of Steel             |Positive  |
|Saints Row IV                                     |Positive  |
|Lobotomy Corporation | Monster Management Simulation|Positive  |
|Liftoff: FPV Drone Racing                         |Positive  |
|Elsword                                           |Positive  |
|911 Operator                                      |Positive  |
|Geometry Dash                                     |Positive  |
|SOULCALIBUR VI                                    |Positive  |
|SEGA Mega Drive and Genesis Classics              |Positive  |
|The Jackbox Party Quintpack                       |Positive  |
|Klei Survival Bundle                              |Positive  |
|Planescape: Torment: Enhanced Edition             |Positive  |
|I Expect You To Die                               |Positive  |
|UNDER NIGHT IN-BIRTH Exe:Late[st]                 |Positive  |
|Game Dev Tycoon                                   |Positive  |
|Moon Hunters                                      |Positive  |
|X4: Foundations                                   |Positive  |
|Vampyr                                            |Positive  |
|RollerCoaster Tycoon® 2: Triple Thrill Pack       |Positive  |
|RollerCoaster Tycoon®: Deluxe                     |Positive  |
|Call of Cthulhu®                                  |Positive  |
